Population,Field_Year,Generation,Block,Transect,Sequence,Left_Or_Right,Donor,Recipient,Plant_ID,Total_Closed_Fruits,Total_Fruits,Tot_Seed_Num_ClosedFt,Mean_Ind_Seed_Mass_mg,Mean_Seeds_per_Fruit,Lifetime_Fecundity,Stem_Biomass,Corolla_Diameter,Corolla_Area,Leaf_Area_mm2,FFD,LFD,fl_duration
Blue Oak,2022,G1,2,6,201,NA,BO_106,BO_191,4,4,20,0,NA,0,0,107.79,22.137,273.258,NA,3/25/22,5/25/22,61
Blue Oak,2022,G1,2,6,202,NA,BO_001,BO_151,8,1,1,2,9.325,2,2,15.44,NA,NA,38.293,3/25/22,4/1/22,7
Blue Oak,2022,G1,2,6,203,NA,BO_189,BO_142,4,2,19,0,NA,0,0,39.48,23.631,362.558,17.152,3/25/22,5/12/22,48
Blue Oak,2022,G1,2,6,204,NA,BO_130,BO_174,1,2,4,3,5.003333333,1.5,6,11.83,25.236,417.303,NA,3/25/22,5/12/22,48
Blue Oak,2022,G1,2,6,205,NA,BO_198,BO_158,2,0,9,0,NA,0,0,NA,NA,NA,38.091,3/25/22,5/20/22,56
Blue Oak,2022,G1,2,6,206,NA,BO_101,BO_182,5,4,13,11,2.214545455,2.75,35.75,89.89,22.202,289.704,11.368,3/25/22,5/20/22,56
Blue Oak,2022,G1,2,7,207,NA,BO_101,BO_080,2,0,0,0,NA,0,0,NA,25.146,336.048,NA,4/1/22,4/1/22,0
Blue Oak,2022,G1,2,7,208,NA,BO_040,BO_029,1,0,0,0,NA,0,0,NA,21.955,278.575,NA,4/1/22,4/8/22,7
Blue Oak,2022,G1,2,7,209,NA,BO_201,BO_189,4,0,1,0,NA,0,0,NA,26.251,479.683,29.332,3/25/22,5/25/22,61
Blue Oak,2022,G1,2,7,210,NA,BO_106,BO_104,2,4,10,2,1.67,0.5,5,NA,28.575,410.723,NA,3/25/22,5/25/22,61
Blue Oak,2022,G1,2,7,211,NA,BO_170,BO_055,2,1,1,1,5.05,1,1,92.13,24.914,366.932,15.098,4/1/22,5/25/22,54
Blue Oak,2022,G1,2,7,212,NA,BO_187,BO_135,3,2,3,3,1.603333333,1.5,4.5,8.06,19.963,240.76,24.348,4/8/22,4/28/22,20
