Isotope_Sample_ID,Transect,Segment,Recipient,Plant_ID,Gen,Sequence,Donor,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FLR_P,skel_weight_mg,Closed_fruits_F,Open_fruits_F,ALL_filled_seeds,Total_fruits_F,Mean_Seeds_per_Fruit,Estimated_Fecundity,Mean_Seed_Mass_mg,Corolla_Diameter_mm,Photo_date,Leaf_area_mm2,Leaf_dry_weight_mg,Specific_leaf_area,d13,Total_C_µg,Sample_Weight_mg
BO_151-G1-001-33L-3,1,33L,BO_151,3,G1,33,BO_001,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,33.43,5,6,8,11,1.6,17.6,3.187857143,25.725,2023-05-05,NA,NA,NA,-29.39,1696.04,5.29
BO_152-G1-005-18L-2,5,18L,BO_152,2,G1,142,BO_143,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-01,27,2023-05-05,51.84,5,11,11,16,2.2,35.2,3.928611111,26.309,2023-05-05,NA,NA,NA,-31.85,1535.98,4.59
BO_152-G2-008-19R-5,8,19R,BO_152,5,G2,243,BO_143,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-02,28,2023-05-17,25.61,2,2,4,4,2,8,4.9825,24.57,2023-05-17,13.814,0.99,13.953535353535354,-29.31,1151.9,3.46
BO_152-G2-008-24L-2,8,24L,BO_152,2,G2,248,BO_143,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,2023-05-05,27.28,3,0,6,3,2,6,4.573333333,23.2,2023-05-05,17.393,0.98,17.74795918367347,-28.84,1465.57,4.7
BO_154-G2-003-15L-3,3,15L,BO_154,3,G2,86,BO_188,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,NA,6.74,1,1,1,2,1,2,6.27,NA,NA,NA,NA,NA,-28.39,622.66,2.43
BO_155-G1-007-6L-5,7,6L,BO_155,5,G1,204,BO_168,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,2023-04-21,36.36,6,4,21,10,3.5,35,4.114761905,NA,NA,NA,NA,NA,-29.83,1118.55,3.83
BO_155-G2-009-8L-5,9,8L,BO_155,5,G2,257,BO_168,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,4.73,0,3,0,3,0,0,NA,NA,NA,25.866,1.42,18.21549295774648,-29.28,822.23,2.65
BO_157-G1-008-1R-4,8,1R,BO_157,4,G1,225,BO_153,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,NA,3,0,5,3,1.666666667,5,4.604,20.337,2023-05-05,NA,NA,NA,-30.57,809.53,3.05
BO_158-G1-006-12R-4,6,12R,BO_158,4,G1,180,BO_198,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,NA,5.65,1,1,1,2,1,2,3.79,NA,NA,NA,NA,NA,-30.73,610.11,2.14
BO_158-G1-006-4L-1,6,4L,BO_158,1,G1,172,BO_198,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-15,41,2023-05-17,17.61,2,0,5,2,2.5,5,4.81,24.715,2023-05-17,33.308,2.47,13.48502024291498,-27.84,1501.45,4.77
BO_159-G1-005-4R-3,5,4R,BO_159,3,G1,128,BO_198,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-04-21,4.25,1,0,3,1,3,3,1.273333333,NA,NA,39.524,2.12,18.643396226415092,-29.36,371.58,0.86
BO_159-G1-009-10R-3,9,10R,BO_159,3,G1,259,BO_198,TRUE,2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,1.94,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BO_159-G1-009-16L-2,9,16L,BO_159,2,G1,265,BO_198,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-04-21,2.59,0,1,0,1,0,0,NA,19.859,2023-04-21,NA,NA,NA,NA,NA,NA
BO_161-G1-006-31L-5,6,31L,BO_161,5,G1,198,BO_130,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-04-21,39.06,3,0,20,3,6.666666667,20,4.4234375,28.35,2023-04-21,11.93,1.07,11.149532710280372,-29.55,1564.23,5.31
BO_164-G1-008-13L-5,8,13L,BO_164,5,G1,237,BO_162,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-06-02,16,2023-05-17,NA,1,0,6,1,6,6,2.261666667,26.643,2023-05-17,35.901,2.03,17.68522167487685,-29.68,736.34,2.06
BO_164-G2-007-12L-1,7,12L,BO_164,1,G2,210,BO_162,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,NA,16.9,0,1,0,1,0,0,NA,NA,NA,37.132,2.28,16.2859649122807,-29.88,1288.01,3.64
BO_164-G2-007-24R-2,7,24R,BO_164,2,G2,222,BO_162,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,NA,NA,1,0,1,1,1,1,3.24,NA,NA,NA,NA,NA,NA,NA,NA
